cluster,rank,gene,scores,logfoldchanges,pct_in,pct_out,,
0,1,CCL5,220.3751,3.3091,0.9943,0.6289,,scores​ —— Wilcoxon检验统计量
0,2,GZMA,209.7201,2.9564,0.9626,0.5055,,logfoldchanges​ —— log2折叠变化
0,3,SH3BGRL3,193.347,1.6839,0.9919,0.8795,,pct_in​ —— 聚类内表达比例
0,4,CD8A,183.8075,2.9286,0.8326,0.2997,,pct_out​ —— 聚类外表达比例
0,5,NKG7,180.3597,2.7849,0.9519,0.5095,,
0,6,IL32,179.5907,2.1842,0.9792,0.7611,,
0,7,GZMB,173.901,3.0569,0.7901,0.2843,,
0,8,CD3E,171.0383,2.0242,0.9257,0.5798,,
0,9,CTSW,165.6046,2.4932,0.826,0.3357,,
0,10,CST7,162.8432,2.2633,0.8574,0.446,,
0,11,ALOX5AP,161.7068,2.2367,0.8053,0.4557,,
0,12,HLA-DRB5,161.6634,2.9022,0.7304,0.2662,,
0,13,CD2,161.1265,2.0009,0.8854,0.544,,
0,14,PTPRCAP,147.0002,2.674,0.7278,0.258,,
0,15,HLA-DRB1,146.0698,1.9007,0.891,0.5942,,
0,16,LSP1,145.1471,1.6461,0.8511,0.5731,,
0,17,GAPDH,141.6018,1.1526,0.9866,0.9028,,
0,18,CORO1A,141.2417,1.4961,0.9186,0.6732,,
0,19,CD96,140.8454,2.1601,0.7019,0.2889,,
0,20,HOPX,136.5668,2.197,0.7017,0.3025,,
1,1,CD52,187.8907,2.0273,0.9942,0.8199,,
1,2,IFITM1,181.374,2.7568,0.8905,0.4776,,
1,3,RPS26,173.6756,1.8974,0.9715,0.8626,,
1,4,LTB,162.1242,2.3815,0.8892,0.4925,,
1,5,S100A4,158.3917,1.7413,0.9835,0.8167,,
1,6,PTPRCAP,156.3375,2.8844,0.7656,0.2586,,
1,7,IFITM2,155.7124,1.8899,0.9286,0.6473,,
1,8,IL7R,137.707,2.2895,0.7366,0.3254,,
1,9,GSTK1,137.446,1.613,0.8438,0.5592,,
1,10,CD3E,135.4627,1.7665,0.9376,0.5834,,
1,11,RPL30,129.2441,0.7127,0.9997,0.9804,,
1,12,RPS21,123.6016,0.8469,0.9903,0.9363,,
1,13,PTPRC,122.988,1.4609,0.9066,0.6405,,
1,14,EEF1A1,122.4015,0.603,1,0.9934,,
1,15,CD8B,119.9773,2.0224,0.6608,0.2777,,
1,16,IFITM3,119.2477,1.8946,0.727,0.4063,,
1,17,LIMD2,119.1745,1.6113,0.7901,0.4741,,
1,18,CNN2,118.9456,1.71,0.7143,0.3856,,
1,19,SH3BGRL3,118.4008,1.1845,0.9927,0.8813,,
1,20,MYL12A,115.9687,1.1661,0.9612,0.776,,
2,1,MALAT1,104.0661,0.7918,0.9998,0.9991,,
2,2,HSP90AA1,71.0807,1.3319,0.691,0.758,,
2,3,HSPA1B,68.16,2.6121,0.4429,0.2241,,
2,4,HSPA1A,66.562,2.6871,0.4717,0.2909,,
2,5,DNAJB1,65.4108,1.9965,0.5528,0.4755,,
2,6,HSPA6,56.1505,3.1961,0.3044,0.0846,,
2,7,JUN,48.2775,1.0061,0.635,0.6369,,
2,8,H3F3B,46.1111,0.1303,0.8473,0.958,,
2,9,UBC,44.9785,0.1983,0.7977,0.9291,,
2,10,HSP90AB1,43.7684,0.5886,0.6175,0.7157,,
2,11,DNAJA1,42.2975,1.1296,0.4943,0.4902,,
2,12,HSPA8,42.2453,0.4047,0.6555,0.7983,,
2,13,HSPH1,40.369,1.6195,0.3561,0.2505,,
2,14,DDX5,38.9332,0.207,0.7377,0.8634,,
2,15,GZMK,36.8862,1.0671,0.4246,0.3139,,
2,16,SRSF7,36.0267,0.6727,0.553,0.6233,,
2,17,CCL5,34.7169,0.86,0.7963,0.6819,,
